polygon,probability,port,wkt,closest_terminal,distance_to_closest_terminal,geometry,port_code,distance_to_nearest_container,terminal_name,latitude_custom,longitude_custom,geometry_costums_office,terminal,country,closet_terminal_general,center_point,center_lat,center_lon,numero_polygone,adresse_google,color,name_zone,on_water
"[(53.49793463676282, 9.928807567460122), (53.498033419122415, 9.928807567460122), (53.498033419122415, 9.929018908306151), (53.49793463676282, 9.929018908306151)]",0.9713522,DEHAM-CTA,"POLYGON ((9.928807567460122 53.49793463676282,9.928807567460122 53.498033419122415,9.929018908306151 53.498033419122415,9.929018908306151 53.49793463676282,9.928807567460122 53.49793463676282))",DEHAM-CTA-OFFR,0.5872545070220688,"POLYGON ((9.928807567460122 53.49793463676282, 9.928807567460122 53.498033419122415, 9.929018908306151 53.498033419122415, 9.929018908306151 53.49793463676282, 9.928807567460122 53.49793463676282))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.928913237883139 53.497984027942614),53.497984027942614,9.928913237883139,10,9F5FFWXH+5H,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.498234783163134, 9.92866667356277), (53.49828797366445, 9.92866667356277), (53.49828797366445, 9.92884279093446), (53.498234783163134, 9.92884279093446)]",0.9542386,DEHAM-CTA,"POLYGON ((9.92866667356277 53.498234783163134,9.92866667356277 53.49828797366445,9.92884279093446 53.49828797366445,9.92884279093446 53.498234783163134,9.92866667356277 53.498234783163134))",DEHAM-CTA-OFFR,0.5803041437225137,"POLYGON ((9.92866667356277 53.498234783163134, 9.92866667356277 53.49828797366445, 9.92884279093446 53.49828797366445, 9.92884279093446 53.498234783163134, 9.92866667356277 53.498234783163134))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.928754732248615 53.49826137841379),53.49826137841379,9.928754732248615,11,9F5FFWXH+8G,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50909850467482, 9.93441893787202), (53.50926655158833, 9.934315073781022), (53.50928744785671, 9.934637955629123), (53.50911940094319, 9.934741819720122)]",0.97263336,DEHAM-CTA,"POLYGON ((9.93441893787202 53.50909850467482,9.934315073781022 53.50926655158833,9.934637955629123 53.50928744785671,9.934741819720122 53.50911940094319,9.93441893787202 53.50909850467482))",DEHAM-CTA-OFFR,0.9376585898615498,"POLYGON ((9.93441893787202 53.50909850467482, 9.934315073781022 53.50926655158833, 9.934637955629123 53.50928744785671, 9.934741819720122 53.50911940094319, 9.93441893787202 53.50909850467482))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.934528446750571 53.509192976265766),53.509192976265766,9.934528446750571,12,"GW5M+HG, Am Ballinkai 1, 21129 Hamburg, Germany","{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.507676097147716, 9.934220241350111), (53.50794964829737, 9.934220241350111), (53.50794964829737, 9.934924710836878), (53.507676097147716, 9.934924710836878)]",0.9910519,DEHAM-CTA,"POLYGON ((9.934220241350111 53.507676097147716,9.934220241350111 53.50794964829737,9.934924710836878 53.50794964829737,9.934924710836878 53.507676097147716,9.934220241350111 53.507676097147716))",DEHAM-CTA-OFFR,0.7853324500251062,"POLYGON ((9.934220241350111 53.507676097147716, 9.934220241350111 53.50794964829737, 9.934924710836878 53.50794964829737, 9.934924710836878 53.507676097147716, 9.934220241350111 53.507676097147716))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.934572476093495 53.50781287272254),53.50781287272254,9.934572476093495,13,"GW5M+HG, Am Ballinkai 1, 21129 Hamburg, Germany","{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.504271905063135, 9.933550995337683), (53.504537857569744, 9.933550995337683), (53.504537857569744, 9.934349394089352), (53.504271905063135, 9.934349394089352)]",0.9884159,DEHAM-CTA,"POLYGON ((9.933550995337683 53.504271905063135,9.933550995337683 53.504537857569744,9.934349394089352 53.504537857569744,9.934349394089352 53.504271905063135,9.933550995337683 53.504271905063135))",DEHAM-CTA-OFFR,0.4286409369962991,"POLYGON ((9.933550995337683 53.504271905063135, 9.933550995337683 53.504537857569744, 9.934349394089352 53.504537857569744, 9.934349394089352 53.504271905063135, 9.933550995337683 53.504271905063135))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.933950194713518 53.50440488131644),53.50440488131644,9.933950194713518,14,9F5FGW3M+QH,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50329336038311, 9.933602153991698), (53.50356345064678, 9.933513359512595), (53.50359372276993, 9.934392737567846), (53.50332363250626, 9.934481532046949)]",0.9767628,DEHAM-CTA,"POLYGON ((9.933602153991698 53.50329336038311,9.933513359512595 53.50356345064678,9.934392737567846 53.50359372276993,9.934481532046949 53.50332363250626,9.933602153991698 53.50329336038311))",DEHAM-CTA-OFFR,0.3305402788937126,"POLYGON ((9.933602153991698 53.50329336038311, 9.933513359512595 53.50356345064678, 9.934392737567846 53.50359372276993, 9.934481532046949 53.50332363250626, 9.933602153991698 53.50329336038311))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.933997445779774 53.50344354157652),53.50344354157652,9.933997445779774,15,9F5FGW3M+9H,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.504298500313794, 9.934607699567833), (53.504560653498885, 9.934607699567833), (53.504560653498885, 9.935406098319502), (53.504298500313794, 9.935406098319502)]",0.983191,DEHAM-CTA,"POLYGON ((9.934607699567833 53.504298500313794,9.934607699567833 53.504560653498885,9.935406098319502 53.504560653498885,9.935406098319502 53.504298500313794,9.934607699567833 53.504298500313794))",DEHAM-CTA-OFFR,0.4101973134305016,"POLYGON ((9.934607699567833 53.504298500313794, 9.934607699567833 53.504560653498885, 9.935406098319502 53.504560653498885, 9.935406098319502 53.504298500313794, 9.934607699567833 53.504298500313794))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.935006898943668 53.50442957690635),53.50442957690635,9.935006898943668,16,9F5FGW3P+Q2,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.503641204589215, 9.932411414725959), (53.50390490370513, 9.932363478411457), (53.50391762488167, 9.933031793228587), (53.50365392576576, 9.933079729543088)]",0.9831463,DEHAM-CTA,"POLYGON ((9.932411414725959 53.503641204589215,9.932363478411457 53.50390490370513,9.933031793228587 53.50391762488167,9.933079729543088 53.50365392576576,9.932411414725959 53.503641204589215))",DEHAM-CTA-OFFR,0.4076072038947986,"POLYGON ((9.932411414725959 53.503641204589215, 9.932363478411457 53.50390490370513, 9.933031793228587 53.50391762488167, 9.933079729543088 53.50365392576576, 9.932411414725959 53.503641204589215))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.932721603977273 53.50377941473545),53.50377941473545,9.932721603977273,17,9F5FGW3M+G3,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.50333727196848, 9.93497167546933), (53.50356903058139, 9.93497167546933), (53.50356903058139, 9.935276945580261), (53.50333727196848, 9.935276945580261)]",0.97501147,DEHAM-CTA,"POLYGON ((9.93497167546933 53.50333727196848,9.93497167546933 53.50356903058139,9.935276945580261 53.50356903058139,9.935276945580261 53.50333727196848,9.93497167546933 53.50333727196848))",DEHAM-CTA-OFFR,0.3030793966906115,"POLYGON ((9.93497167546933 53.50333727196848, 9.93497167546933 53.50356903058139, 9.935276945580261 53.50356903058139, 9.935276945580261 53.50333727196848, 9.93497167546933 53.50333727196848))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.935124310524794 53.50345315127494),53.50345315127494,9.935124310524794,18,9F5FGW3P+92,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
"[(53.503256997194924, 9.932467437567691), (53.503499250963316, 9.932392573153587), (53.503508655224515, 9.93268319587915), (53.503266401456116, 9.932758060293255)]",0.9530153,DEHAM-CTA,"POLYGON ((9.932467437567691 53.503256997194924,9.932392573153587 53.503499250963316,9.93268319587915 53.503508655224515,9.932758060293255 53.503266401456116,9.932467437567691 53.503256997194924))",DEHAM-CTA-OFFR,0.3794513020639279,"POLYGON ((9.932467437567691 53.503256997194924, 9.932392573153587 53.503499250963316, 9.93268319587915 53.503508655224515, 9.932758060293255 53.503266401456116, 9.932467437567691 53.503256997194924))",DEHAM,,,,,,,DE,DEHAM-CTA,POINT (9.932575316723423 53.503382826209716),53.503382826209716,9.932575316723423,19,9F5FGW3M+92,"{'fillColor': 'blue', 'color': 'blue'}",reefer,False
